countryterritoryCode,Country,tourist_arrival_2018,tourist_departure_2018,perc_diabetes_2019,fempop_2018,male_pop_2018,gdp_capita_2018,sanitation_access_2016,handwashing_access_2017,heathcare_coverage_2017,hops_bedsper1000_2016,doc_per1000_2015,pop_over65_2018,smoking_perc_2016,date,confirm,death,recov
DMA,Dominica,63000,,11.6,,,7691.345097,,,,3.8,1.7791,,,2020-04-05,14,0,0
DNK,Denmark,12749000,7475000,8.3,2914620,2882826,61350.34791,99.59722928,,81,2.5,3.6743,1148645,19.1,2020-04-05,4369,179,1327
DOM,Dominican Republic,6569000,514000,8.6,5314411,5312754,8050.631602,83.53956123,55.18198096,74,1.6,1.4943,752703,13.7,2020-04-05,1745,82,17
DZA,Algeria,2657000,5610000,6.7,20896429,21332000,4114.715061,87.54231646,83.74060269,78,1.9,1.207,2686782,15.6,2020-04-05,1320,152,90
ECU,Ecuador,2535000,1402000,5.5,8537160,8547197,6344.871979,87.17655336,80.63477845,77,1.5,2.0734,1222777,7.1,2020-04-05,3646,180,100
EGY,Egypt,,,,,,,,,,,,,,2020-04-05,1173,78,247
ERI,Eritrea,,,5.1,,,,11.93996619,,38,0.7,0.0557,,5.7,2020-04-05,29,0,0
ESH,Western Sahara,,,,,,,,,,,,,,2020-04-05,4,0,0
ESP,Spain,82773000,19116000,6.9,23780819,22942930,30370.89233,99.90428643,,83,3,3.8493,9054365,29.3,2020-04-05,131646,12641,38080
EST,Estonia,3234000,2069000,4.2,698199,622685,23266.34627,99.13973696,,75,5,3.4152,259241,31.3,2020-04-05,1097,15,62
ETH,Ethiopia,849000,,4.3,54589220,54635339,772.3135303,7.090740001,7.960389747,39,0.3,0.022,3824097,4.4,2020-04-05,43,2,4
FIN,Finland,3224000,9450000,5.6,2798797,2719253,50152.34014,99.44785618,,78,4.4,3.2073,1198564,20.4,2020-04-05,1927,28,300
FJI,Fiji,870000,174000,14.7,435562,447921,6266.967965,95.06922889,,64,2.3,0.8374,48147,22.6,2020-04-05,12,0,0
FRA,France,89322000,26914000,4.8,34554861,32432383,41463.64402,98.65080612,,78,6.5,3.2237,13420643,32.7,2020-04-05,92839,8078,16183
FRO,Denmark,,,,,,,,,,,,,,2020-04-05,181,0,99
GAB,Gabon,,,6,1039899,1079376,7952.525893,47.36637167,,49,6.3,0.2895,75529,,2020-04-05,21,1,1
GBR,United Kingdom,36316000,70386000,3.9,33666883,32822108,42943.90227,99.11142063,,87,2.8,2.778,12231225,22.3,2020-04-05,47808,4934,135
GEO,Georgia,4757000,3698000,5.8,1950986,1780014,4717.143026,90.25437442,,66,2.6,5.0976,554631,28.8,2020-04-05,174,2,36
GHA,Ghana,,,2.5,14682873,15084235,2202.312164,17.80599013,41.04730838,47,0.9,0.1686,913522,3.9,2020-04-05,214,5,31
GIB,United Kingdom,,,,,,,,,,,,,,2020-04-05,103,0,52
GIN,Guinea,,,2.4,6433237,5981081,878.5996133,21.88899337,17.44971711,37,0.3,0.1,363246,,2020-04-05,121,0,5
GLP,France,,,,,,,,,,,,,,2020-04-05,135,7,31
GMB,Gambia,,,,,,,,,,,,,,2020-04-05,4,1,2
GNB,Guinea-Bissau,,,2.4,959062,915247,777.9699218,20.41955111,6.402937089,40,1,0.2,52925,,2020-04-05,18,0,0
GNQ,Equatorial Guinea,,,6,581916,727058,10261.76001,66.24854149,,45,2.1,0.2111,32173,,2020-04-05,16,0,1
GRC,Greece,30123000,7961000,4.7,5462121,5265547,20324.25356,98.97959928,,75,4.3,6.1082,2323106,43.4,2020-04-05,1735,73,78
GRD,Grenada,185000,,10.7,55289,56165,10640.49676,91.49389213,,72,3.7,0.668,10724,,2020-04-05,12,0,0
GRL,Denmark,,,,,,,,,,,,,,2020-04-05,11,0,3
GTM,Guatemala,1781000,1227000,10,8754875,8492932,4549.010081,65.02274536,76.66550362,55,0.6,0.9039,829977,,2020-04-05,61,2,15
GUF,France,,,,,,,,,,,,,,2020-04-05,61,0,22
GUY,Guyana,287000,,11.6,388007,390997,4979.002188,85.75872346,77.15941492,72,1.6,0.6898,50248,,2020-04-05,24,4,0
HKG,China,,,,,,,,,,,,,,2020-04-05,890,4,206
HND,Honduras,,,7.3,4798491,4789031,2500.113213,80.24248182,,65,0.7,0.9999,449714,2,2020-04-05,268,22,6
HRV,Croatia,16645000,2058000,5.4,2120461,1968939,14909.69319,96.51257251,,71,5.6,3.1244,836096,37,2020-04-05,1182,15,125
HTI,Haiti,447000,,6.7,5634134,5489042,868.3420247,33.59935076,22.86274626,49,0.7,0.1372,550531,12.7,2020-04-05,21,1,1
HUN,Hungary,17552000,8649000,6.9,5122011,4646774,16161.98051,97.99318159,,74,7,3.1159,1871477,30.6,2020-04-05,733,34,66
IDN,Indonesia,15810000,9468000,6.3,132878520,134784915,3893.596078,71.25313269,64.20361858,57,1.2,0.274,15677491,39.4,2020-04-05,2273,198,164
IMN,United Kingdom,,,,,,,,,,,,,,2020-04-05,127,1,0
IND,India,17423000,26296000,10.4,649574719,703042609,2009.978857,56.94165514,59.54968752,55,0.7,0.7256,83591151,11.5,2020-04-05,3588,99,229
IRL,Ireland,10926000,8643000,3.2,2447405,2406101,78806.432,91.14664278,,76,2.8,2.7819,672978,24.3,2020-04-05,4994,158,25
IRN,Iran,,,,,,,,,,,,,,2020-04-05,58226,3603,19736
IRQ,Iraq,,,8.8,18989535,19444065,5834.166211,92.42690665,94.57594778,61,1.4,0.8607,1277379,,2020-04-05,961,61,279
ISL,Iceland,2343800,668000,5.8,176121,177453,73191.11632,98.7826612,,84,3.2,3.7826,52312,14.7,2020-04-05,1486,4,428
ISR,Israel,4121000,8473000,9.7,4468385,4415415,41715.02928,99.99999925,,82,3.1,3.1906,1064011,25.2,2020-04-05,8430,49,477
ITA,Italy,61567200,33347100,5,31047581,29383702,34483.204,98.7718902,,82,3.4,3.9174,13749132,23.7,2020-04-05,128948,15887,21815
JAM,Jamaica,2473000,,11.3,1477401,1457454,5354.236859,87.32379504,,65,1.7,0.4175,258169,16.8,2020-04-05,58,3,8
JOR,Jordan,4150000,1501000,12.7,4917242,5038769,4241.788782,97.43348058,,76,1.4,2.8407,382957,,2020-04-05,345,5,110
JPN,Japan,31192000,18954000,5.6,64731350,61797750,39289.95843,99.90241732,,83,13.4,2.3414,34892133,22.1,2020-04-05,3139,77,514
KAZ,Kazakhstan,8789000,,6.1,9414496,8862003,9812.601137,97.80581741,98.99937405,76,6.7,3.2522,1350971,24,2020-04-05,584,6,42
KEN,Kenya,,,3.1,25858917,25534093,1710.510097,29.29678479,24.6510437,55,1.4,0.1988,1202178,10.7,2020-04-05,142,4,4
KGZ,Kyrgyzstan,,,,,,,,,,,,,,2020-04-05,147,1,9
KHM,Cambodia,6201000,1995000,6.4,8319569,7930229,1510.324871,56.60150096,66.2286221,60,0.8,0.1682,742401,17.2,2020-04-05,114,0,50
